Week,DistrictName,DistrictCode,DistrictOrganizationId,Status,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High
Week of 1/18/2021,Eatonville School District,27404,100074,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","Homeless,Students with Disabilities,All Students",,759,0,0,360,375,472,0,0,40,80,566,0,0,50,125
Week of 1/18/2021,Ellensburg School District,19401,100076,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1400,0,0,1000,1000,800,0,0,500,500,850,0,0,600,600
Week of 1/18/2021,Elma School District,14068,100077,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,All Students",,614,0,0,198,150,350,0,0,15,30,450,0,0,16,40
Week of 1/18/2021,Endicott School District,38308,100078,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,37,0,0,36,36,46,0,0,44,44,0,0,0,0,0
Week of 1/18/2021,Entiat School District,4127,100079,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,141,0,0,141,141,82,0,0,82,82,82,0,0,82,82
Week of 1/18/2021,Enumclaw School District,17216,100080,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,All Students",,1710,0,0,853,1490,976,0,0,145,145,1174,0,0,175,175
Week of 1/18/2021,Ephrata School District,13165,100081,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1098,0,0,1098,1098,650,0,0,650,650,797,0,0,797,766
Week of 1/18/2021,Everett School District,31002,100083,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","Students with Disabilities,Other - Write In (Required)",Targeted in-person academic support,9264,0,0,66,66,4724,0,0,18,18,5464,0,0,47,47
Week of 1/18/2021,Evergreen School District (Clark),6114,100084,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",All Students,,9879,0,0,1140,2291,5649,0,0,118,220,7891,0,0,373,714
Week of 1/18/2021,Federal Way School District,17210,100086,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 12",Students with Disabilities,,8977,0,0,8,8,4994,0,0,3,3,5874,0,0,4,4
Week of 1/18/2021,Ferndale School District,37502,100087,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Section 504,Students with Disabilities,Other - Write In (Required)",Any student without connectivity or home support,1864,0,0,800,1396,1045,0,0,105,110,1393,0,0,94,123
Week of 1/18/2021,Fife School District,27417,100088,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 10,Grade 11,Grade 12",Students with Disabilities,,1668,0,0,9,25,869,0,0,3,6,1193,0,0,5,9
Week of 1/18/2021,Franklin Pierce School District,27402,100090,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Students with Disabilities,Other - Write In (Required)","Hyflex pilot group, students struggling with remote learning environment",3382,0,0,66,75,1834,0,0,18,18,2273,0,0,20,26
Week of 1/18/2021,Freeman School District,32358,100091,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,282,0,0,270,270,215,0,0,200,200,310,0,0,280,280
Week of 1/18/2021,Garfield School District,38302,100092,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,0,48,48,58,0,0,54,54,75,0,0,70,70
Week of 1/18/2021,Glenwood School District,20401,100093,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,23,0,0,21,21,20,0,0,19,19,17,0,0,15,15
Week of 1/18/2021,Goldendale School District,20404,100094,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,276,0,0,128,260,228,0,0,100,200,275,0,0,135,270
Week of 1/18/2021,Grand Coulee Dam School District,13301,100095,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,336,0,0,252,225,123,0,0,28,55,219,0,0,49,85
Week of 1/18/2021,Grandview School District,39200,100096,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1645,0,0,595,1055,889,0,0,175,700,1013,0,0,172,688
Week of 1/18/2021,Granger School District,39204,100097,Complete,Phase-In,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,All Students",,526,0,0,395,395,465,0,0,233,240,439,0,0,30,30
Week of 1/18/2021,Granite Falls School District,31332,100098,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","Low Income,Homeless,Migrant,Other - Write In (Required)",No Connection Access,865,0,0,0,0,490,0,0,0,0,657,0,0,0,0
Week of 1/18/2021,Grapeview School District,23054,100099,Complete,Partial In-Person for All Students,Small Groups + Remote,,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8",Other - Write In (Required),Students Identified with Greatest Need based on all factors listed above,127,0,0,48,98,67,0,0,4,4,0,0,0,0,0
Week of 1/18/2021,Great Northern School District,32312,100100,Complete,Partial In-Person for All Students,,,,,,36,0,0,34,34,0,0,0,0,0,0,0,0,0,0
Week of 1/18/2021,Green Mountain School District,6103,100101,Complete,Phase-In,Small Groups + Remote,,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8",All Students,,117,0,0,72,117,39,0,0,2,9,0,0,0,0,0
Week of 1/18/2021,Griffin School District,34324,100102,Complete,Small Groups + Remote,Small Groups + Remote,,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8","English Language Learners,Foster Care,Low Income,Section 504,Students with Disabilities,All Students",,366,0,0,10,15,228,0,0,15,20,0,0,0,0,0
Week of 1/18/2021,Harrington School District,22204,100103,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,72,0,0,72,72,18,0,0,18,18,29,0,0,29,29
Week of 1/18/2021,Highline School District,17401,100105,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",Students with Disabilities,,8704,0,0,66,66,4179,0,0,40,40,5390,0,0,46,46
Week of 1/18/2021,Impact | Puget Sound Elementary,17911,106096,Complete,100% Remote,,,,,,408,0,0,0,408,0,0,0,0,0,0,0,0,0,0
Week of 1/18/2021,Impact | Salish Sea Elementary,17916,106254,Complete,100% Remote,,,,,,122,0,0,0,122,0,0,0,0,0,0,0,0,0,0
Week of 1/18/2021,Index School District,31063,100110,Complete,Small Groups + Remote,Small Groups + Remote,100% Remote,,Students with Disabilities,,15,0,0,1,1,7,0,0,1,1,0,0,0,0,0
Week of 1/18/2021,Innovation Charter School,0,0,Complete,,Partial In-Person for All Students,Partial In-Person for All Students,,,,0,0,0,0,0,56,0,0,56,56,0,0,0,0,0
Week of 1/18/2021,Issaquah School District,17411,100111,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,8622,0,0,60,60,4953,0,0,38,38,6365,0,0,20,20
Week of 1/18/2021,Kahlotus School District,11056,100112,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,19,0,0,19,19,5,0,0,5,5,13,0,0,13,13
Week of 1/18/2021,Kalama School District,8402,100113,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5",All Students,,473,0,0,268,407,237,0,0,0,0,271,0,0,0,0
Week of 1/18/2021,Keller School District,10003,100114,Complete,Partial In-Person for All Students,,,,,,38,0,0,15,35,38,0,0,16,35,0,0,0,0,0
Week of 1/18/2021,Kelso School District,8458,100115,Complete,Partial In-Person for All Students,Small Groups + Remote,Phase-In,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,Other - Write In (Required)",Connectivity challenges - Internet Cafe,2050,0,0,950,1751,1135,0,0,50,50,1496,0,0,300,300
Week of 1/18/2021,Kennewick School District,3017,100116,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","Students with Disabilities,Other - Write In (Required)",Students who have been identified to benefit most from on-site remote learning support,8102,0,0,6968,6968,4346,0,0,430,430,5459,0,0,545,545
Week of 1/18/2021,Kettle Falls School District,33212,100118,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,265,0,0,220,220,226,0,0,200,200,239,0,0,110,220
Week of 1/18/2021,Kiona-Benton City School District,3052,100119,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,621,0,0,524,524,334,0,0,20,80,388,0,0,8,80
Week of 1/18/2021,Kittitas School District,19403,100120,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,255,0,0,120,235,125,0,0,70,120,200,0,0,100,170
Week of 1/18/2021,Klickitat School District,20402,100121,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11","Homeless,Section 504,Students with Disabilities,Other - Write In (Required)",No or limited internet,38,0,0,8,8,16,0,0,4,4,18,0,0,5,5
Week of 1/18/2021,La Center School District,6101,100122,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Homeless,Section 504,Students with Disabilities,Other - Write In (Required)",All students K-2,663,0,0,200,200,412,0,0,25,25,591,0,0,30,30
