,Week,DistrictName,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High,OrganizationLevel,County,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,Unnamed: 0,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate,_merge
10,1/18/2021,Winlock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,0,295,300,170,0,0,130,140,180,0,0,120,130,District,Lewis,700,339,4,357,2,3,2,177,0,46,470,57,18,46,584,92,11,30,19,132,643,682,654,116,608,689,670,681,568,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
11,1/25/2021,Adna School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,0,216,216,155,0,0,90,155,212,0,0,130,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
12,1/25/2021,Centralia School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Other - Write In (Required)",students without internet,1900,0,0,760,1520,500,0,0,50,100,900,0,0,80,160,District,Lewis,3379,1627,4,1748,22,27,38,1347,8,157,1773,440,99,144,2682,73,22,135,65,513,2939,3280,3235,697,3306,3357,3244,3314,2866,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
13,1/25/2021,Chehalis School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094,District,Lewis,3068,1455,3,1610,9,25,41,633,8,195,2157,126,74,81,1460,24,44,138,69,494,2942,2994,2987,1608,3044,3024,2930,2999,2574,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
14,1/25/2021,Morton School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,161,0,19,0,142,53,0,5,0,48,106,0,14,0,92,District,Lewis,328,150,0,178,1,4,3,41,0,30,249,0,5,21,193,1,9,21,18,53,328,323,307,135,327,319,307,310,275,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
15,1/25/2021,Mossyrock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,290,0,0,197,222,97,0,0,82,88,148,0,0,112,115,District,Lewis,552,263,1,288,7,1,3,131,5,4,401,48,10,3,314,40,0,15,5,101,504,542,549,238,512,552,537,547,451,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
16,1/25/2021,Napavine School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,385,0,72,188,315,146,0,28,65,118,214,1,58,78,156,District,Lewis,793,364,0,429,3,5,5,120,1,50,609,20,42,12,346,3,7,30,1,90,773,751,781,447,790,786,763,792,703,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
17,1/25/2021,Onalaska School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,372,0,12,360,360,196,0,12,184,184,241,0,15,226,226,District,Lewis,836,401,0,435,3,2,0,94,1,45,691,26,32,1,486,3,10,34,18,133,810,804,835,350,833,826,802,818,703,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
18,1/25/2021,Pe Ell School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,116,0,0,51,102,61,0,0,26,51,79,0,0,38,75,District,Lewis,271,132,0,139,5,1,0,13,0,21,231,0,4,32,162,0,9,11,15,51,271,267,239,109,271,262,260,256,220,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
19,1/25/2021,Toledo School District,Partial In-Person for All Students,Partial In-Person for All Students,Phase-In,Grade 12,"Students with Disabilities,Other - Write In (Required)",Students who are failing most classes.,341,0,43,298,298,171,4,21,146,146,261,57,0,72,72,District,Lewis,799,369,1,429,16,3,9,77,1,31,662,12,20,116,404,3,3,40,3,152,787,779,683,395,796,796,759,796,647,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
20,1/25/2021,White Pass School District,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,"Grade 9,Grade 10,Grade 11,Grade 12","Low Income,Homeless,Section 504,Students with Disabilities",,172,0,0,135,172,54,0,0,12,12,109,0,0,4,14,District,Lewis,354,170,1,183,2,1,4,34,1,7,305,0,6,39,248,2,2,28,3,57,354,348,315,106,352,352,326,351,297,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
21,1/25/2021,Winlock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,30,295,300,160,0,40,120,130,210,0,70,130,140,District,Lewis,700,339,4,357,2,3,2,177,0,46,470,57,18,46,584,92,11,30,19,132,643,682,654,116,608,689,670,681,568,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
22,1/25/2021,Evaline School District,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,53,0,9,22,25,0,0,0,0,0,0,0,0,0,0,District,Lewis,51,21,0,30,0,0,0,7,0,3,41,2,1,0,32,1,0,0,0,8,49,50,51,19,50,51,51,51,43,709,41,121,162,23.14,28,50,31,34,17,2,0,288,358.88,both
23,2/1/2021,Adna School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,17,216,216,155,14,14,85,155,212,11,11,126,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,670,15,111,126,18.0,15,37,22,24,21,7,0,218,271.65,both
24,2/1/2021,Chehalis School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094,District,Lewis,3068,1455,3,1610,9,25,41,633,8,195,2157,126,74,81,1460,24,44,138,69,494,2942,2994,2987,1608,3044,3024,2930,2999,2574,670,15,111,126,18.0,15,37,22,24,21,7,0,218,271.65,both
25,2/1/2021,Morton School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,157,0,15,0,142,53,0,5,0,48,104,0,15,0,89,District,Lewis,328,150,0,178,1,4,3,41,0,30,249,0,5,21,193,1,9,21,18,53,328,323,307,135,327,319,307,310,275,670,15,111,126,18.0,15,37,22,24,21,7,0,218,271.65,both
26,2/1/2021,Mossyrock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,292,0,89,203,221,98,0,15,83,89,149,0,39,110,114,District,Lewis,552,263,1,288,7,1,3,131,5,4,401,48,10,3,314,40,0,15,5,101,504,542,549,238,512,552,537,547,451,670,15,111,126,18.0,15,37,22,24,21,7,0,218,271.65,both
27,2/1/2021,Napavine School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,385,0,72,188,315,146,0,28,65,118,214,1,58,78,156,District,Lewis,793,364,0,429,3,5,5,120,1,50,609,20,42,12,346,3,7,30,1,90,773,751,781,447,790,786,763,792,703,670,15,111,126,18.0,15,37,22,24,21,7,0,218,271.65,both
28,2/1/2021,Winlock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,30,295,300,160,0,40,120,130,210,0,70,130,140,District,Lewis,700,339,4,357,2,3,2,177,0,46,470,57,18,46,584,92,11,30,19,132,643,682,654,116,608,689,670,681,568,670,15,111,126,18.0,15,37,22,24,21,7,0,218,271.65,both
29,2/22/2021,Adna School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,17,216,216,155,14,14,85,155,212,11,11,126,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
30,2/22/2021,Centralia School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1842,0,368,740,1480,511,0,0,35,60,969,0,0,50,100,District,Lewis,3379,1627,4,1748,22,27,38,1347,8,157,1773,440,99,144,2682,73,22,135,65,513,2939,3280,3235,697,3306,3357,3244,3314,2866,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
31,2/22/2021,Chehalis School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094,District,Lewis,3068,1455,3,1610,9,25,41,633,8,195,2157,126,74,81,1460,24,44,138,69,494,2942,2994,2987,1608,3044,3024,2930,2999,2574,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
32,2/22/2021,Morton School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,155,0,16,0,139,52,0,4,0,48,106,0,16,0,90,District,Lewis,328,150,0,178,1,4,3,41,0,30,249,0,5,21,193,1,9,21,18,53,328,323,307,135,327,319,307,310,275,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
33,2/22/2021,Mossyrock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,292,0,89,203,221,100,0,9,91,94,159,0,20,139,143,District,Lewis,552,263,1,288,7,1,3,131,5,4,401,48,10,3,314,40,0,15,5,101,504,542,549,238,512,552,537,547,451,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
34,2/22/2021,Napavine School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,386,0,65,161,321,141,0,27,57,114,218,1,60,79,158,District,Lewis,793,364,0,429,3,5,5,120,1,50,609,20,42,12,346,3,7,30,1,90,773,751,781,447,790,786,763,792,703,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
35,2/22/2021,Onalaska School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,372,0,10,362,362,204,0,13,191,191,243,0,15,227,227,District,Lewis,836,401,0,435,3,2,0,94,1,45,691,26,32,1,486,3,10,34,18,133,810,804,835,350,833,826,802,818,703,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
36,2/22/2021,Pe Ell School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,113,0,14,50,100,62,0,10,26,52,75,0,5,35,70,District,Lewis,271,132,0,139,5,1,0,13,0,21,231,0,4,32,162,0,9,11,15,51,271,267,239,109,271,262,260,256,220,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
37,2/22/2021,Toledo School District,Partial In-Person for All Students,Partial In-Person for All Students,Typical/Traditional In-Person,,,,347,0,34,314,314,169,0,15,154,154,204,63,22,182,182,District,Lewis,799,369,1,429,16,3,9,77,1,31,662,12,20,116,404,3,3,40,3,152,787,779,683,395,796,796,759,796,647,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
38,2/22/2021,White Pass School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,165,0,17,148,165,53,0,10,23,47,110,12,26,36,73,District,Lewis,354,170,1,183,2,1,4,34,1,7,305,0,6,39,248,2,2,28,3,57,354,348,315,106,352,352,326,351,297,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
39,2/22/2021,Winlock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,30,295,300,160,0,40,120,130,210,0,70,130,140,District,Lewis,700,339,4,357,2,3,2,177,0,46,470,57,18,46,584,92,11,30,19,132,643,682,654,116,608,689,670,681,568,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
40,2/22/2021,Evaline School District,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,53,0,8,27,45,0,0,0,0,0,0,0,0,0,0,District,Lewis,51,21,0,30,0,0,0,7,0,3,41,2,1,0,32,1,0,0,0,8,49,50,51,19,50,51,51,51,43,552,26,45,71,10.14,8,22,10,17,8,6,0,127,158.26,both
41,3/1/2021,Adna School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,15,216,216,155,0,14,85,155,212,5,11,126,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
42,3/1/2021,Centralia School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1842,0,368,740,1480,511,0,0,35,60,969,0,0,50,100,District,Lewis,3379,1627,4,1748,22,27,38,1347,8,157,1773,440,99,144,2682,73,22,135,65,513,2939,3280,3235,697,3306,3357,3244,3314,2866,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
43,3/1/2021,Chehalis School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094,District,Lewis,3068,1455,3,1610,9,25,41,633,8,195,2157,126,74,81,1460,24,44,138,69,494,2942,2994,2987,1608,3044,3024,2930,2999,2574,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
44,3/1/2021,Morton School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,156,0,16,0,140,51,0,4,0,47,109,0,17,0,92,District,Lewis,328,150,0,178,1,4,3,41,0,30,249,0,5,21,193,1,9,21,18,53,328,323,307,135,327,319,307,310,275,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
45,3/1/2021,Mossyrock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,298,0,71,227,245,100,0,9,91,94,159,0,20,139,143,District,Lewis,552,263,1,288,7,1,3,131,5,4,401,48,10,3,314,40,0,15,5,101,504,542,549,238,512,552,537,547,451,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
46,3/1/2021,Napavine School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,385,0,60,162,325,141,0,27,57,114,218,1,60,79,158,District,Lewis,793,364,0,429,3,5,5,120,1,50,609,20,42,12,346,3,7,30,1,90,773,751,781,447,790,786,763,792,703,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
47,3/1/2021,Onalaska School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,372,0,10,362,362,204,0,13,191,191,243,0,15,227,227,District,Lewis,836,401,0,435,3,2,0,94,1,45,691,26,32,1,486,3,10,34,18,133,810,804,835,350,833,826,802,818,703,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
48,3/1/2021,Pe Ell School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,113,0,14,60,100,62,0,10,26,52,75,0,5,60,70,District,Lewis,271,132,0,139,5,1,0,13,0,21,231,0,4,32,162,0,9,11,15,51,271,267,239,109,271,262,260,256,220,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
49,3/1/2021,White Pass School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,169,0,15,140,169,52,0,39,12,12,108,12,47,29,60,District,Lewis,354,170,1,183,2,1,4,34,1,7,305,0,6,39,248,2,2,28,3,57,354,348,315,106,352,352,326,351,297,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
50,3/1/2021,Winlock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,30,295,300,160,0,40,120,130,210,0,70,130,140,District,Lewis,700,339,4,357,2,3,2,177,0,46,470,57,18,46,584,92,11,30,19,132,643,682,654,116,608,689,670,681,568,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
51,3/1/2021,Boistfort School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,70,0,10,60,60,14,0,2,12,12,0,0,0,0,0,District,Lewis,91,45,1,45,0,1,1,13,0,4,72,5,5,2,46,0,0,6,7,21,86,86,89,45,91,91,85,84,70,513,21,35,56,8.0,12,9,11,9,9,6,0,111,138.32,both
52,3/8/2021,Adna School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,15,216,216,156,0,14,86,156,212,5,12,126,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
53,3/8/2021,Centralia School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Students with Inadequate Internet Connectivity",,1842,0,368,740,1480,511,0,0,35,60,969,0,0,50,100,District,Lewis,3379,1627,4,1748,22,27,38,1347,8,157,1773,440,99,144,2682,73,22,135,65,513,2939,3280,3235,697,3306,3357,3244,3314,2866,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
54,3/8/2021,Chehalis School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094,District,Lewis,3068,1455,3,1610,9,25,41,633,8,195,2157,126,74,81,1460,24,44,138,69,494,2942,2994,2987,1608,3044,3024,2930,2999,2574,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
55,3/8/2021,Morton School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,156,0,16,0,140,51,0,4,0,47,107,0,17,0,90,District,Lewis,328,150,0,178,1,4,3,41,0,30,249,0,5,21,193,1,9,21,18,53,328,323,307,135,327,319,307,310,275,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
56,3/8/2021,Mossyrock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,299,0,71,228,246,100,0,9,91,94,160,0,20,140,143,District,Lewis,552,263,1,288,7,1,3,131,5,4,401,48,10,3,314,40,0,15,5,101,504,542,549,238,512,552,537,547,451,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
57,3/8/2021,Napavine School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,385,0,58,163,327,140,0,26,57,114,216,1,59,78,157,District,Lewis,793,364,0,429,3,5,5,120,1,50,609,20,42,12,346,3,7,30,1,90,773,751,781,447,790,786,763,792,703,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
58,3/8/2021,Onalaska School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,372,0,10,362,362,204,0,13,191,191,243,0,15,227,227,District,Lewis,836,401,0,435,3,2,0,94,1,45,691,26,32,1,486,3,10,34,18,133,810,804,835,350,833,826,802,818,703,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
59,3/8/2021,Pe Ell School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,113,0,14,60,100,62,0,10,26,52,75,0,5,60,70,District,Lewis,271,132,0,139,5,1,0,13,0,21,231,0,4,32,162,0,9,11,15,51,271,267,239,109,271,262,260,256,220,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
60,3/8/2021,Toledo School District,Partial In-Person for All Students,Partial In-Person for All Students,Typical/Traditional In-Person,,,,348,0,28,320,320,168,0,11,157,157,203,65,15,188,188,District,Lewis,799,369,1,429,16,3,9,77,1,31,662,12,20,116,404,3,3,40,3,152,787,779,683,395,796,796,759,796,647,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
61,3/8/2021,White Pass School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,169,0,14,126,169,57,0,10,24,23,109,12,26,37,30,District,Lewis,354,170,1,183,2,1,4,34,1,7,305,0,6,39,248,2,2,28,3,57,354,348,315,106,352,352,326,351,297,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
62,3/8/2021,Winlock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,30,295,300,160,0,40,120,130,210,0,70,130,140,District,Lewis,700,339,4,357,2,3,2,177,0,46,470,57,18,46,584,92,11,30,19,132,643,682,654,116,608,689,670,681,568,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
63,3/8/2021,Boistfort School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,70,0,10,60,60,14,0,2,12,12,0,0,0,0,0,District,Lewis,91,45,1,45,0,1,1,13,0,4,72,5,5,2,46,0,0,6,7,21,86,86,89,45,91,91,85,84,70,478,20,35,55,7.86,6,11,13,15,6,4,0,81,100.93,both
64,3/15/2021,Adna School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,15,216,217,156,0,14,86,157,212,5,12,126,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,440,6,20,26,3.71,0,5,8,9,4,0,0,76,94.7,both
