,Week,DistrictName,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High,Sum of Enrollment,Sum of OptOut,Rate of OptOut,OrganizationLevel,County,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,Percent Low-income,Percent Non-Low Income,Percent Homeless,Percent Non-Homeless
10,5/10/2021,Adna School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,226,0,7,219,219,159,0,10,75,149,214,4,17,100,193,599,34,0.06,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,0.29,0.71,0.01,0.99
11,5/17/2021,Adna School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,226,0,7,219,219,159,0,10,75,149,214,4,17,100,193,599,34,0.06,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,0.29,0.71,0.01,0.99
12,1/18/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
13,1/25/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
14,2/1/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
15,2/8/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
16,2/15/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
17,2/22/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
18,3/1/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
19,3/8/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,0,50,50,21,0,0,21,21,20,0,0,20,20,91,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
20,3/15/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,0,50,50,21,0,0,21,21,20,0,0,20,20,91,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
21,3/22/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,0,50,50,21,0,0,21,21,20,0,0,20,20,91,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
22,3/29/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,0,50,50,21,0,0,21,21,20,0,0,20,20,91,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
23,4/12/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,52,0,0,52,52,21,0,0,21,21,20,0,0,20,20,93,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
24,4/19/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,52,0,0,52,52,21,0,0,21,21,20,0,0,20,20,93,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
25,4/26/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,52,0,0,52,52,21,0,0,21,21,20,0,0,20,20,93,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
26,5/3/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,52,0,0,52,52,21,0,0,21,21,20,0,0,20,20,93,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
27,5/10/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,52,0,0,52,52,21,0,0,21,21,19,0,0,19,19,92,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
28,5/17/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,0,50,50,21,0,0,21,21,18,0,0,18,18,89,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
29,5/24/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,45,0,0,45,45,21,0,0,21,21,17,0,0,17,17,83,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
30,5/31/2021,Almira School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,45,0,0,45,45,21,0,0,21,21,17,0,0,17,17,83,0,0,District,Lincoln,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
31,1/18/2021,Arlington School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Students with Disabilities,Other - Write In (Required)",Connectivity Needs,2263,0,0,1511,1511,1296,0,0,74,74,1702,0,0,120,120,5261,0,0,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
32,1/25/2021,Arlington School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Students with Disabilities,Other - Write In (Required)",Connectivity Needs,2263,0,0,1511,1511,1296,0,0,74,74,1702,0,0,120,120,5261,0,0,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
33,2/1/2021,Arlington School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Section 504,Students with Disabilities,Other - Write In (Required)",Connectivity Needs,2263,77,225,1406,1406,1296,49,0,80,80,1702,58,0,132,132,5261,225,0.04,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
34,2/8/2021,Arlington School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Section 504,Students with Disabilities",,2269,43,225,1416,1416,1279,31,0,78,78,1690,0,0,135,135,5238,225,0.04,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
35,2/15/2021,Arlington School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,2247,43,225,1981,1981,1295,31,0,81,81,1796,0,0,157,157,5338,225,0.04,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
36,2/22/2021,Arlington School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,2215,43,225,2000,2000,1289,31,0,84,84,1724,0,0,158,158,5228,225,0.04,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
37,3/1/2021,Arlington School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,2216,43,225,2001,2001,1285,31,0,83,83,1778,0,0,246,246,5279,225,0.04,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
38,3/8/2021,Arlington School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,2296,43,225,1999,1999,1300,31,0,341,341,2021,0,0,275,275,5617,225,0.04,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
39,3/15/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,2280,46,249,2007,2007,1279,31,0,1238,1238,1709,0,0,275,275,5268,249,0.05,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
40,3/22/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2305,46,243,2016,2016,1311,31,0,1237,1237,1679,7,0,1662,1662,5295,243,0.05,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
41,3/29/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2333,46,268,2019,2019,1323,34,54,1235,1235,1709,0,76,1633,1633,5365,398,0.07,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
42,4/12/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2291,45,271,2020,2020,1301,33,71,1230,1230,1692,0,63,1629,1629,5284,405,0.08,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
43,4/19/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2291,45,264,2027,2027,1281,33,56,1227,1227,1846,0,219,1657,1657,5418,539,0.1,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
44,4/26/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2291,45,264,2027,2027,1283,33,56,1227,1227,1876,0,219,1625,1625,5450,539,0.1,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
45,5/3/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2295,46,271,2024,2024,1285,33,56,1229,1229,1844,0,219,1625,1625,5424,546,0.1,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
46,5/10/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2294,46,271,2023,2023,1282,33,56,1226,1226,1868,0,247,1621,1621,5444,574,0.11,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
47,5/17/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2292,46,271,2021,2021,1283,33,56,1227,1227,1869,0,247,1622,1622,5444,574,0.11,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
48,5/24/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2292,46,271,2021,2021,1293,33,66,1227,1227,1869,0,247,1622,1622,5454,584,0.11,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
49,5/31/2021,Arlington School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2289,46,273,2016,2016,1285,34,64,1221,1221,1735,0,114,1621,1621,5309,451,0.09,District,Snohomish,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
50,1/18/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,256,0,0,246,246,144,0,0,136,136,192,0,0,93,93,592,0,0,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
51,1/25/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,288,0,8,280,280,144,0,8,136,136,190,0,9,95,181,622,25,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
52,2/1/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,288,0,8,280,280,145,0,7,138,138,190,0,17,173,173,623,32,0.05,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
53,2/8/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,288,0,8,280,280,144,0,6,138,138,190,0,17,173,173,622,31,0.05,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
54,2/15/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,289,0,7,282,282,145,0,7,138,138,189,0,10,179,179,623,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
55,2/22/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,290,0,8,281,281,147,0,7,140,140,187,0,10,177,177,624,25,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
56,3/1/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,289,0,7,282,282,146,0,7,139,139,185,0,10,175,175,620,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
57,3/8/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,289,0,7,282,282,146,0,7,139,139,185,0,8,177,177,620,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
58,3/15/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,289,0,7,282,282,146,0,7,139,139,186,0,8,178,178,621,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
59,3/22/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,289,0,7,282,282,146,0,7,139,139,188,0,8,180,180,623,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
60,3/29/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,289,0,7,0,0,146,0,7,0,0,188,0,8,0,0,623,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
61,4/12/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,187,0,8,179,179,620,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
62,4/19/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,187,0,8,179,179,620,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
63,4/26/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,186,0,8,178,178,619,22,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
64,5/3/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,186,0,10,176,176,619,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
65,5/10/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,186,0,10,176,176,619,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
66,5/17/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,186,0,10,176,176,619,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
67,5/24/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,186,0,10,176,176,619,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
68,5/31/2021,Asotin-Anatone School District,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,287,0,7,280,280,146,0,7,139,139,186,0,10,176,176,619,24,0.04,District,Asotin,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0,1
